Spawning 4 workers for 500 images.
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
[184/500] synth_000179.png  (1400, 1000)  anns=8  rate=0.54img/s  eta=9.8min
[185/500] synth_000196.png  (1821, 1079)  anns=16  rate=0.51img/s  eta=10.2min
[186/500] synth_000197.png  (1772, 1016)  anns=5  rate=0.52img/s  eta=10.1min
[187/500] synth_000198.png  (3258, 1238)  anns=8  rate=0.52img/s  eta=10.0min
[188/500] synth_000199.png  (1866, 930)  anns=6  rate=0.52img/s  eta=9.9min
[189/500] synth_000192.png  (3931, 1143)  anns=11  rate=0.52img/s  eta=10.0min
[190/500] synth_000193.png  (2183, 1072)  anns=15  rate=0.52img/s  eta=9.9min
[191/500] synth_000194.png  (1454, 900)  anns=7  rate=0.52img/s  eta=9.9min
[192/500] synth_000195.png  (3673, 1163)  anns=8  rate=0.53img/s  eta=9.8min
[193/500] synth_000188.png  (3267, 951)  anns=15  rate=0.52img/s  eta=9.8min
[194/500] synth_000189.png  (4906, 2653)  anns=20  rate=0.53img/s  eta=9.7min
[195/500] synth_000190.png  (2149, 1046)  anns=5  rate=0.53img/s  eta=9.6min
[196/500] synth_000191.png  (1788, 900)  anns=6  rate=0.53img/s  eta=9.5min
[197/500] synth_000184.png  (1400, 1088)  anns=9  rate=0.52img/s  eta=9.7min
[198/500] synth_000185.png  (4462, 1946)  anns=9  rate=0.52img/s  eta=9.6min
[199/500] synth_000186.png  (3521, 1563)  anns=6  rate=0.53img/s  eta=9.5min
[200/500] synth_000187.png  (3464, 2667)  anns=39  rate=0.53img/s  eta=9.4min
[201/500] synth_000200.png  (2936, 2130)  anns=13  rate=0.52img/s  eta=9.6min
[202/500] synth_000201.png  (1400, 935)  anns=8  rate=0.52img/s  eta=9.5min
[203/500] synth_000202.png  (1687, 965)  anns=9  rate=0.53img/s  eta=9.4min
[204/500] synth_000203.png  (2233, 1093)  anns=13  rate=0.53img/s  eta=9.3min
[205/500] synth_000208.png  (1964, 1120)  anns=14  rate=0.53img/s  eta=9.3min
[206/500] synth_000209.png  (1415, 1020)  anns=9  rate=0.53img/s  eta=9.3min
[207/500] synth_000210.png  (2178, 1135)  anns=13  rate=0.53img/s  eta=9.2min
[208/500] synth_000211.png  (1400, 1139)  anns=7  rate=0.53img/s  eta=9.1min
[209/500] synth_000204.png  (1516, 1022)  anns=10  rate=0.53img/s  eta=9.2min
[210/500] synth_000205.png  (1463, 997)  anns=10  rate=0.53img/s  eta=9.1min
[211/500] synth_000206.png  (2054, 1041)  anns=17  rate=0.53img/s  eta=9.0min
[212/500] synth_000207.png  (2130, 977)  anns=7  rate=0.54img/s  eta=8.9min
[213/500] synth_000216.png  (1400, 1089)  anns=11  rate=0.52img/s  eta=9.2min
[214/500] synth_000217.png  (1701, 1182)  anns=7  rate=0.52img/s  eta=9.1min
[215/500] synth_000218.png  (1771, 1153)  anns=13  rate=0.52img/s  eta=9.1min
[216/500] synth_000219.png  (2400, 2432)  anns=14  rate=0.53img/s  eta=9.0min
[217/500] synth_000212.png  (2880, 964)  anns=11  rate=0.53img/s  eta=9.0min
